service,ip,device_type,timestamp,expected,reality,evidence
CV,192.168.31.21,Laptop,2024-07-05 17:40:09.171081,0.25,1,0.7716207455429498
CV,192.168.31.21,Laptop,2024-07-05 17:40:09.692694,0.25,0.5,0.2816207455429498
CV,192.168.31.21,Laptop,2024-07-05 17:40:10.208037,0.25,0.3333333333333333,0.13495407887628305
CV,192.168.31.21,Laptop,2024-07-05 17:40:10.719858,0.25,0.5,0.3216207455429498
CV,192.168.31.21,Laptop,2024-07-05 17:40:11.231689,0.25,0.6,0.4416207455429497
CV,192.168.31.21,Laptop,2024-07-05 17:40:11.741495,0.25,0.6666666666666666,0.5382874122096164
CV,192.168.31.21,Laptop,2024-07-05 17:40:12.256245,0.25,0.7142857142857143,0.5959064598286641
CV,192.168.31.21,Laptop,2024-07-05 17:40:12.764920,0.25,0.75,0.6616207455429498
CV,192.168.31.21,Laptop,2024-07-05 17:40:13.276502,0.25,0.7777777777777778,0.6993985233207276
CV,192.168.31.21,Laptop,2024-07-05 17:40:13.785872,0.25,0.8,0.7516207455429498
CV,192.168.31.21,Laptop,2024-07-05 17:40:14.293680,0.25,0.8181818181818182,0.789802563724768
CV,192.168.31.21,Laptop,2024-07-05 17:40:14.809197,0.25,0.8333333333333334,0.8249540788762831
CV,192.168.31.21,Laptop,2024-07-05 17:40:15.318971,0.25,0.8461538461538461,0.8577745916967959
CV,192.168.31.21,Laptop,2024-07-05 17:40:15.833148,0.25,0.8571428571428571,0.8887636026858069
CV,192.168.31.21,Laptop,2024-07-05 17:40:16.342073,0.25,0.8666666666666667,0.9182874122096165
CV,192.168.31.21,Laptop,2024-07-05 17:40:16.851673,0.25,0.875,0.9466207455429498
CV,192.168.31.21,Laptop,2024-07-05 17:40:17.362126,0.25,0.8823529411764706,0.9739736867194204
CV,192.168.31.21,Laptop,2024-07-05 17:40:17.869700,0.25,0.8888888888888888,1.0005096344318385
CV,192.168.31.21,Laptop,2024-07-05 17:40:18.672703,0.7846251386967376,0.8947368421052632,0.17162685492367705
CV,192.168.31.21,Laptop,2024-07-05 17:40:19.188321,0.7846251386967376,0.9,0.18689001281841391
CV,192.168.31.21,Laptop,2024-07-05 17:40:19.698147,0.7846251386967376,0.9047619047619048,0.22165191758031866
CV,192.168.31.21,Laptop,2024-07-05 17:40:20.213494,0.7846251386967376,0.9090909090909091,0.23598092190932296
CV,192.168.31.21,Laptop,2024-07-05 17:40:20.722158,0.7846251386967376,0.9130434782608695,0.2699334910792834
CV,192.168.31.21,Laptop,2024-07-05 17:40:21.233997,0.7846251386967376,0.9166666666666666,0.2935566794850805
CV,192.168.31.21,Laptop,2024-07-05 17:40:21.754696,0.7846251386967376,0.92,0.31689001281841395
CV,192.168.31.21,Laptop,2024-07-05 17:40:22.266456,0.7846251386967376,0.9230769230769231,0.33996693589533705
CV,192.168.31.21,Laptop,2024-07-05 17:40:22.778475,0.7846251386967376,0.9259259259259259,0.3628159387443398
CV,192.168.31.21,Laptop,2024-07-05 17:40:23.288730,0.7846251386967376,0.9285714285714286,0.3854614413898425
